id,comicsId
1865,7044
1865,7046
1865,7055
1865,7103
1865,7117
1865,17843
1865,2332
1865,7607
1865,7609
854,17550
854,1170
854,1214
854,3888
854,3344
854,2969
854,11825
854,30229
854,30230
9046,24407
9046,29303
9046,24408
9046,29544
9046,29623
9046,39041
9046,24175
9046,24847
9046,39287
9046,40976
9046,38240
9046,24028
9046,24232
9046,26328
9046,26330
9046,26332
9046,30529
9046,30530
9046,30531
9046,30532
2707,12653
2707,6933
2707,73587
2707,8703
2707,68451
2707,9189
2707,9191
2707,16873
2707,10100
2707,10101
2707,10102
2707,10105
2707,10116
2707,10120
2707,10129
2707,10131
2707,10139
2707,10147
2707,10039
2707,10040
10936,24660
10936,28763
10936,56078
10936,56079
10936,56080
10936,56081
10936,56082
10936,61465
10936,53394
10936,25436
10936,25437
10936,25443
10936,29158
10936,28886
10936,28089
10936,28090
10936,28091
10936,28092
10936,59548
10936,28718
13225,71315
13225,64581
13225,65290
13225,65912
13225,66776
13225,56399
13225,71477
13225,67307
1258,55
1258,8024
1258,53777
1258,53778
1258,53779
1258,20418
1258,20429
1258,71593
1258,20097
1258,29366
1258,17448
1258,5041
1258,23300
1258,23302
1258,62448
1258,21093
1258,21095
1258,9032
1258,9033
1258,16881
6115,18384
3186,16650
3186,42202
3186,64820
3186,19779
3186,19780
3186,58129
3186,11947
3186,11950
3186,29486
6675,19861
12691,59778
12691,54710
1489,7852
1489,7867
1489,7873
1489,7875
1489,7886
1489,21151
1489,8867
1489,17677
1489,17676
1489,15426
1489,16701
12374,49662
12374,48382
12374,36208
12374,47121
12374,47849
12374,61648
12374,61650
12374,62201
12374,60476
12374,54120
12374,54121
12374,54122
12374,54123
12374,54124
12374,54430
12374,54431
12374,54432
12374,54433
12374,54434
12374,54435
4589,14219
4589,52902
1021,21205
1021,21316
1021,4475
1021,3989
1021,18156
1021,51000
10103,28880
10103,31992
10103,28812
10103,48018
2112,6802
2112,16902
2112,16903
2112,17846
2112,37353
2112,5368
2112,3631
2112,7769
2112,7770
2112,7771
2112,7772
2112,7774
2112,7775
2112,7776
2112,7777
2112,7778
2112,7779
2112,7780
2112,7781
2112,7783
2289,7235
2289,7244
2289,11780
12770,52467
3081,9629
12594,53996
1123,48583
1123,49562
1123,49564
1123,48701
1123,25016
1123,31192
1123,31194
1123,31197
1123,22568
1123,37172
1123,37169
1123,37171
1123,37170
1123,13517
1123,5103
1123,5257
1123,5428
1123,5684
1123,5823
1123,25664
5227,21804
5227,21805
5227,16715
12964,60667
12964,66444
12964,66693
12964,69054
12964,61129
9289,16158
702,23
12571,53989
12571,54175
12571,54176
12571,54177
12571,54178
